site,date,start_hour,value,variable,units,quality,prelim,name 
2981,2025-06-01,6,36.2,OZONE,Parts Per Billion ( ppb ),0,y,Shafter-Walker Street 
2981,2025-06-01,7,45.6,OZONE,Parts Per Billion ( ppb ),0,y,Shafter-Walker Street 
2981,2025-06-01,8,50.9,OZONE,Parts Per Billion ( ppb ),0,y,Shafter-Walker Street 
2981,2025-06-01,9,51.8,OZONE,Parts Per Billion ( ppb ),0,y,Shafter-Walker Street 
2981,2025-06-01,10,53.5,OZONE,Parts Per Billion ( ppb ),0,y,Shafter-Walker Street 
2981,2025-06-01,11,54.9,OZONE,Parts Per Billion ( ppb ),0,y,Shafter-Walker Street 
2981,2025-06-01,12,57.3,OZONE,Parts Per Billion ( ppb ),0,y,Shafter-Walker Street 
2981,2025-06-01,13,55.2,OZONE,Parts Per Billion ( ppb ),0,y,Shafter-Walker Street 
2981,2025-06-01,14,51.9,OZONE,Parts Per Billion ( ppb ),0,y,Shafter-Walker Street 
2981,2025-06-01,15,50.3,OZONE,Parts Per Billion ( ppb ),0,y,Shafter-Walker Street 
2981,2025-06-01,16,45.5,OZONE,Parts Per Billion ( ppb ),0,y,Shafter-Walker Street 
2981,2025-06-01,17,40.9,OZONE,Parts Per Billion ( ppb ),0,y,Shafter-Walker Street 
2981,2025-06-01,18,36.0,OZONE,Parts Per Billion ( ppb ),0,y,Shafter-Walker Street 
2981,2025-06-01,19,32.4,OZONE,Parts Per Billion ( ppb ),0,y,Shafter-Walker Street 
2981,2025-06-01,20,34.2,OZONE,Parts Per Billion ( ppb ),0,y,Shafter-Walker Street 
2981,2025-06-01,21,36.8,OZONE,Parts Per Billion ( ppb ),0,y,Shafter-Walker Street 
2981,2025-06-01,22,35.8,OZONE,Parts Per Billion ( ppb ),0,y,Shafter-Walker Street 
2981,2025-06-01,23,30.6,OZONE,Parts Per Billion ( ppb ),0,y,Shafter-Walker Street 
3129,2025-06-01,0,11.0,OZONE,Parts Per Billion ( ppb ),0,y,Hanford-S Irwin Street 
3129,2025-06-01,1,3.7,OZONE,Parts Per Billion ( ppb ),0,y,Hanford-S Irwin Street 
3129,2025-06-01,2,3.0,OZONE,Parts Per Billion ( ppb ),0,y,Hanford-S Irwin Street 
3129,2025-06-01,4,0.1,OZONE,Parts Per Billion ( ppb ),0,y,Hanford-S Irwin Street 
3129,2025-06-01,5,2.8,OZONE,Parts Per Billion ( ppb ),0,y,Hanford-S Irwin Street 
3129,2025-06-01,6,16.1,OZONE,Parts Per Billion ( ppb ),0,y,Hanford-S Irwin Street 
3129,2025-06-01,7,30.1,OZONE,Parts Per Billion ( ppb ),0,y,Hanford-S Irwin Street 
3129,2025-06-01,8,46.2,OZONE,Parts Per Billion ( ppb ),0,y,Hanford-S Irwin Street 
3129,2025-06-01,9,52.6,OZONE,Parts Per Billion ( ppb ),0,y,Hanford-S Irwin Street 
3129,2025-06-01,10,59.4,OZONE,Parts Per Billion ( ppb ),0,y,Hanford-S Irwin Street 
3129,2025-06-01,11,63.2,OZONE,Parts Per Billion ( ppb ),0,y,Hanford-S Irwin Street 
3129,2025-06-01,12,57.5,OZONE,Parts Per Billion ( ppb ),0,y,Hanford-S Irwin Street 
3129,2025-06-01,13,58.5,OZONE,Parts Per Billion ( ppb ),0,y,Hanford-S Irwin Street 
3129,2025-06-01,14,60.3,OZONE,Parts Per Billion ( ppb ),0,y,Hanford-S Irwin Street 
3129,2025-06-01,15,53.7,OZONE,Parts Per Billion ( ppb ),0,y,Hanford-S Irwin Street 
3129,2025-06-01,16,50.3,OZONE,Parts Per Billion ( ppb ),0,y,Hanford-S Irwin Street 
3129,2025-06-01,17,51.2,OZONE,Parts Per Billion ( ppb ),0,y,Hanford-S Irwin Street 
3129,2025-06-01,18,59.9,OZONE,Parts Per Billion ( ppb ),0,y,Hanford-S Irwin Street 
3129,2025-06-01,19,64.3,OZONE,Parts Per Billion ( ppb ),0,y,Hanford-S Irwin Street 
3129,2025-06-01,20,55.8,OZONE,Parts Per Billion ( ppb ),0,y,Hanford-S Irwin Street 
3129,2025-06-01,21,44.2,OZONE,Parts Per Billion ( ppb ),0,y,Hanford-S Irwin Street 
