site,date,start_hour,time,value,variable,units,quality,prelim,name 
3781,6/6/2025,23,12:30 AM,27.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/6/2025,0,1:30 AM,23.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/6/2025,1,2:30 AM,21.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/6/2025,2,3:30 AM,21.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/6/2025,3,4:30 AM,21,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/6/2025,5,6:30 AM,18.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/6/2025,6,7:30 AM,19.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/6/2025,7,8:30 AM,20.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/6/2025,8,9:30 AM,26.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/6/2025,9,10:30 AM,36.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/6/2025,10,11:30 AM,48.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/6/2025,11,12:30 PM,56.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/6/2025,12,1:30 PM,55.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/6/2025,13,2:30 PM,56.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/6/2025,14,3:30 PM,54.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/6/2025,15,4:30 PM,53.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/6/2025,16,5:30 PM,50.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/6/2025,17,6:30 PM,44.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/6/2025,18,7:30 PM,44.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/6/2025,19,8:30 PM,41.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/6/2025,20,9:30 PM,40.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/6/2025,21,10:30 PM,40.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/6/2025,22,11:30 PM,40.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,23,12:30 AM,33.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,0,1:30 AM,27.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,1,2:30 AM,24.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,2,3:30 AM,24.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,3,4:30 AM,23.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,5,6:30 AM,16.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,6,7:30 AM,21.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,7,8:30 AM,27.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,8,9:30 AM,37.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,9,10:30 AM,48.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,10,11:30 AM,57.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,11,12:30 PM,60.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,12,1:30 PM,55.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,13,2:30 PM,51.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,14,3:30 PM,52.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,15,4:30 PM,57.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,16,5:30 PM,55.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,17,6:30 PM,50.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,18,7:30 PM,48.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,19,8:30 PM,45,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,20,9:30 PM,42.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,21,10:30 PM,39.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,22,11:30 PM,34.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,23,12:30 AM,33.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,0,1:30 AM,30.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,1,2:30 AM,26.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,2,3:30 AM,23.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,3,4:30 AM,21.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,5,6:30 AM,21.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,6,7:30 AM,24.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,7,8:30 AM,28.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,8,9:30 AM,32,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,9,10:30 AM,36.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,10,11:30 AM,40.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,11,12:30 PM,43.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,12,1:30 PM,45.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
