site,date,start_hour,value,variable,units,quality,prelim,name 
3781,6/7/2025,1,24.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,2,24.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,3,23.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,5,16.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,6,21.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,7,27.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,8,37.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,9,48.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,10,57.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,11,60.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,12,55.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,13,51.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,14,52.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,15,57.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,16,55.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,17,50.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,18,48.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,19,45,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,20,42.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,21,39.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,22,34.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/7/2025,23,33.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,0,30.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,1,26.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,2,23.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,3,21.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,5,21.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,6,24.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,7,28.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,8,32,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,9,36.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,10,40.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,11,43.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,12,45.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,13,47.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,14,48.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,15,52.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,16,55.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,17,54.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,18,48.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,19,44.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,20,40.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,21,37.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,22,32.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,23,25.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,0,22.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,1,21.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,2,20.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,3,18.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,5,15.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,6,19.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,7,27,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,8,33.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,9,42.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,10,46.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,11,47.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,12,48.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,13,50.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,14,51.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,15,51.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,16,52.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,17,57.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,18,59.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,19,49.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,20,49.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,21,43.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,22,34.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,23,29.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,0,25.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,1,22.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,2,18.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,3,17,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,5,12,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,6,16.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,7,24.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,8,32.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,9,44.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,10,47.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,11,53.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,12,56.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,13,54.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,14,52.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,15,51,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,16,52.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,17,46.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,18,43.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,19,46.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,20,45,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,21,41.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,22,31.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,23,26.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,0,24.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,1,23.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,2,22.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,3,21.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,5,20,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,6,20.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,7,30.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,8,36.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,9,41.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,10,44,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,11,45.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,12,45.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,13,47.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,14,50.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,15,51.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,16,50.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,17,48.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
