Ozone-1578:OZONE_value,Ozone-1578:OZONE_date,GPS:LAT_value,GPS:LAT_date,GPS:LON_value,GPS:LON_date
40.4,2025-10-22T03:57:43Z,36.1388870,2025-10-22T03:57:43Z,-120.3683802,2025-10-22T03:57:43Z
40.4,2025-10-22T04:02:45Z,36.1389121,2025-10-22T04:02:45Z,-120.3683462,2025-10-22T04:02:45Z
36.6,2025-10-22T04:07:47Z,36.1388813,2025-10-22T04:07:47Z,-120.3683713,2025-10-22T04:07:47Z
40.1,2025-10-22T04:12:51Z,36.1388886,2025-10-22T04:12:51Z,-120.3683673,2025-10-22T04:12:51Z
39.1,2025-10-22T04:17:53Z,36.1388859,2025-10-22T04:17:53Z,-120.3683729,2025-10-22T04:17:53Z
41.0,2025-10-22T04:22:57Z,36.1389223,2025-10-22T04:22:57Z,-120.3683899,2025-10-22T04:22:57Z
45.6,2025-10-22T04:27:59Z,36.1388946,2025-10-22T04:27:59Z,-120.3683823,2025-10-22T04:27:59Z
43.1,2025-10-22T04:33:06Z,36.1388981,2025-10-22T04:33:06Z,-120.3683954,2025-10-22T04:33:06Z
41.2,2025-10-22T04:38:09Z,36.1388397,2025-10-22T04:38:09Z,-120.3684248,2025-10-22T04:38:09Z
43.8,2025-10-22T04:43:10Z,36.1388846,2025-10-22T04:43:10Z,-120.3684003,2025-10-22T04:43:10Z
45.3,2025-10-22T04:48:16Z,36.1388844,2025-10-22T04:48:16Z,-120.3683950,2025-10-22T04:48:16Z
44.7,2025-10-22T04:53:20Z,36.1388608,2025-10-22T04:53:20Z,-120.3684301,2025-10-22T04:53:20Z
42.8,2025-10-22T04:58:27Z,36.1388581,2025-10-22T04:58:27Z,-120.3684400,2025-10-22T04:58:27Z
43.7,2025-10-22T05:03:31Z,36.1389035,2025-10-22T05:03:31Z,-120.3683773,2025-10-22T05:03:31Z
43.3,2025-10-22T05:08:38Z,36.1389049,2025-10-22T05:08:38Z,-120.3684021,2025-10-22T05:08:38Z
44.1,2025-10-22T05:13:45Z,36.1389060,2025-10-22T05:13:45Z,-120.3683881,2025-10-22T05:13:45Z
45.1,2025-10-22T05:18:47Z,36.1389744,2025-10-22T05:18:47Z,-120.3683753,2025-10-22T05:18:47Z
42.1,2025-10-22T05:23:49Z,36.1389545,2025-10-22T05:23:49Z,-120.3683646,2025-10-22T05:23:49Z
45.6,2025-10-22T05:28:53Z,36.1389518,2025-10-22T05:28:53Z,-120.3684315,2025-10-22T05:28:53Z
42.6,2025-10-22T05:33:55Z,36.1389683,2025-10-22T05:33:55Z,-120.3683759,2025-10-22T05:33:55Z
45.0,2025-10-22T05:38:59Z,36.1389188,2025-10-22T05:38:59Z,-120.3683861,2025-10-22T05:38:59Z
45.1,2025-10-22T05:44:06Z,36.1389517,2025-10-22T05:44:06Z,-120.3683947,2025-10-22T05:44:06Z
45.4,2025-10-22T05:49:13Z,36.1389064,2025-10-22T05:49:13Z,-120.3683822,2025-10-22T05:49:13Z
45.7,2025-10-22T05:54:17Z,36.1388635,2025-10-22T05:54:17Z,-120.3683996,2025-10-22T05:54:17Z
45.5,2025-10-22T05:59:19Z,36.1388881,2025-10-22T05:59:19Z,-120.3683868,2025-10-22T05:59:19Z
45.4,2025-10-22T06:04:23Z,36.1389077,2025-10-22T06:04:23Z,-120.3683781,2025-10-22T06:04:23Z
44.1,2025-10-22T06:09:25Z,36.1389288,2025-10-22T06:09:25Z,-120.3683121,2025-10-22T06:09:25Z
44.8,2025-10-22T06:14:29Z,36.1388798,2025-10-22T06:14:29Z,-120.3683861,2025-10-22T06:14:29Z
44.8,2025-10-22T06:19:36Z,36.1389042,2025-10-22T06:19:36Z,-120.3683619,2025-10-22T06:19:36Z
46.8,2025-10-22T06:24:43Z,36.1389364,2025-10-22T06:24:43Z,-120.3683655,2025-10-22T06:24:43Z
46.3,2025-10-22T06:29:47Z,36.1389691,2025-10-22T06:29:47Z,-120.3683592,2025-10-22T06:29:47Z
46.2,2025-10-22T06:34:51Z,36.1389055,2025-10-22T06:34:51Z,-120.3683684,2025-10-22T06:34:51Z
41.9,2025-10-22T06:39:58Z,36.1388845,2025-10-22T06:39:58Z,-120.3683811,2025-10-22T06:39:58Z
39.5,2025-10-22T06:45:00Z,36.1389065,2025-10-22T06:45:00Z,-120.3683772,2025-10-22T06:45:00Z
34.7,2025-10-22T06:50:06Z,36.1388927,2025-10-22T06:50:06Z,-120.3683706,2025-10-22T06:50:06Z
34.1,2025-10-22T06:55:13Z,36.1389001,2025-10-22T06:55:13Z,-120.3683517,2025-10-22T06:55:13Z
35.1,2025-10-22T07:00:17Z,36.1388642,2025-10-22T07:00:17Z,-120.3683694,2025-10-22T07:00:17Z
36.7,2025-10-22T07:05:24Z,36.1388930,2025-10-22T07:05:24Z,-120.3683595,2025-10-22T07:05:24Z
37.4,2025-10-22T07:10:26Z,36.1388776,2025-10-22T07:10:26Z,-120.3683820,2025-10-22T07:10:26Z
38.0,2025-10-22T07:15:28Z,36.1389046,2025-10-22T07:15:28Z,-120.3683667,2025-10-22T07:15:28Z
38.5,2025-10-22T07:20:30Z,36.1389023,2025-10-22T07:20:30Z,-120.3683717,2025-10-22T07:20:30Z
37.5,2025-10-22T07:25:36Z,36.1389367,2025-10-22T07:25:36Z,-120.3683611,2025-10-22T07:25:36Z
40.6,2025-10-22T07:30:41Z,36.1388698,2025-10-22T07:30:41Z,-120.3683707,2025-10-22T07:30:41Z
42.3,2025-10-22T07:35:43Z,36.1389467,2025-10-22T07:35:43Z,-120.3683594,2025-10-22T07:35:43Z
41.4,2025-10-22T07:40:47Z,36.1389226,2025-10-22T07:40:47Z,-120.3683668,2025-10-22T07:40:47Z
42.3,2025-10-22T07:45:51Z,36.1389296,2025-10-22T07:45:51Z,-120.3683689,2025-10-22T07:45:51Z
