date_time,unixtime,temp_C,rh,o3,m_PM25_CF1,m_PM10_CF1,lat,lon,reference,seasonal_bias
2025-06-25 10:30:00,1750872301.0,27.33333333333333,35.666666666666664,33.87583333333333,8.0,8.0,36.78535983333333,-119.7730715,40.4,1
2025-06-25 11:30:00,1750875901.0,30.0,31.0,42.24066666666667,7.5,7.833333333333333,36.78542083333333,-119.77313866666668,46.1,1
2025-06-25 12:30:00,1750879501.0,32.666666666666664,25.33333333333333,46.195166666666665,6.166666666666667,6.166666666666667,36.785424,-119.77308766666664,48.3,1
2025-06-25 13:30:00,1750883101.0,34.0,21.83333333333333,52.17216666666667,6.0,6.5,36.78539133333334,-119.773127,51.8,1
2025-06-25 14:30:00,1750886701.0,35.166666666666664,20.0,55.449000000000005,5.333333333333333,5.333333333333333,36.785357,-119.773131,53.1,1
2025-06-25 15:30:00,1750890301.0,35.5,17.833333333333332,58.310833333333335,5.0,5.0,36.78539633333333,-119.77311216666664,54.1,1
2025-06-25 16:30:00,1750893901.0,35.833333333333336,19.166666666666668,58.372166666666665,5.0,5.166666666666667,36.78535333333333,-119.77309933333332,54.8,1
2025-06-25 17:30:00,1750897501.0,35.833333333333336,19.0,60.93083333333334,5.666666666666667,5.833333333333333,36.785388833333336,-119.7730965,56.8,1
2025-06-25 18:30:00,1750901101.0,35.5,18.666666666666668,60.77666666666667,5.0,5.0,36.785397,-119.77312583333332,57.2,1
2025-06-25 19:30:00,1750904701.0,34.166666666666664,18.33333333333333,60.0075,3.8333333333333335,4.0,36.78543483333333,-119.77314883333334,54.2,1
2025-06-25 20:30:00,1750908301.0,31.666666666666668,21.33333333333333,56.56816666666666,4.666666666666667,4.833333333333333,36.7854055,-119.77312366666666,51.8,1
2025-06-25 21:30:00,1750911901.0,29.5,29.0,51.44883333333333,5.5,5.666666666666667,36.785393,-119.77309433333332,50.6,1
2025-06-25 22:30:00,1750915501.0,28.0,32.833333333333336,52.42116666666666,6.333333333333333,6.666666666666667,36.78538966666667,-119.77315916666667,50.0,1
