date_time,unixtime,m_PM25_CF1,m_PM1_CF1,m_PM10_CF1,tempC_pms,rh_pms,temp_C,rh,lat,lon,reference,dew_point,temp_minus_dew_point,pm_rh_interaction
2023-10-13 19:30:00,1697250900.0,12.833333333333334,6.833333333333333,16.333333333333332,0.5,0.1666666666666666,21.83333333333333,45.333333333333336,36.433880333333335,-119.92278933333334,,-64.48624572731079,64.98624572731079,2.138888888888888
2023-10-13 20:30:00,1697254500.0,11.5,7.0,13.833333333333334,0.1666666666666666,0.0,20.0,49.66666666666666,36.43387966666666,-119.92282233333331,,,,0.0
2023-10-13 21:30:00,1697258100.0,13.833333333333334,8.833333333333334,15.666666666666666,0.1666666666666666,0.0,19.5,43.5,36.43388733333334,-119.92280683333333,,,,0.0
2023-10-13 22:30:00,1697261700.0,11.166666666666666,7.333333333333333,13.0,0.0,0.0,18.666666666666668,42.5,36.4338905,-119.92282483333334,,,,0.0
2023-10-13 23:30:00,1697265300.0,4.166666666666667,2.5,5.666666666666667,0.1666666666666666,0.0,18.666666666666668,40.5,36.433902833333335,-119.92282216666666,,,,0.0
2023-10-14 00:30:00,1697268900.0,5.0,3.0,6.333333333333333,0.1666666666666666,0.0,15.333333333333334,47.66666666666666,36.4339385,-119.92277916666669,,,,0.0
2023-10-14 01:30:00,1697272500.0,4.166666666666667,2.1666666666666665,5.5,0.0,0.0,12.666666666666666,58.5,36.433912166666666,-119.9227615,,,,0.0
2023-10-14 02:30:00,1697276100.0,5.666666666666667,3.1666666666666665,7.166666666666667,0.1666666666666666,0.0,12.666666666666666,60.833333333333336,36.43392766666667,-119.92280333333332,,,,0.0
2023-10-14 03:30:00,1697279700.0,10.166666666666666,6.0,12.166666666666666,0.3333333333333333,0.0,11.666666666666666,67.83333333333333,36.433901,-119.9227895,,,,0.0
2023-10-14 04:30:00,1697283300.0,9.833333333333334,5.833333333333333,11.166666666666666,0.3333333333333333,0.1666666666666666,11.5,69.66666666666667,36.43390033333333,-119.92280583333331,,-64.57587073086862,64.90920406420194,1.6388888888888884
2023-10-14 05:30:00,1697286900.0,27.666666666666668,16.166666666666668,31.5,0.5,0.0,11.0,69.66666666666667,36.43388433333333,-119.92279433333331,,,,0.0
2023-10-14 06:30:00,1697290500.0,14.333333333333334,9.166666666666666,16.333333333333332,0.0,0.0,11.0,69.0,36.4338825,-119.92282216666666,,,,0.0
2023-10-14 07:30:00,1697294100.0,15.0,9.0,17.833333333333332,0.5,0.0,11.0,70.33333333333333,36.4338815,-119.922812,,,,0.0
2023-10-14 08:30:00,1697297700.0,14.166666666666666,8.833333333333334,16.0,0.0,0.0,13.333333333333334,63.0,36.43390266666667,-119.92279816666668,,,,0.0
2023-10-14 09:30:00,1697301300.0,10.5,6.333333333333333,12.166666666666666,0.0,0.0,14.333333333333334,61.0,36.433907833333336,-119.9227855,,,,0.0
2023-10-14 10:30:00,1697304900.0,11.5,7.5,13.166666666666666,0.3333333333333333,0.0,17.833333333333332,53.16666666666666,36.43391533333333,-119.9227395,,,,0.0
2023-10-14 11:30:00,1697308500.0,10.666666666666666,7.333333333333333,12.5,0.0,0.0,22.166666666666668,41.5,36.43392116666666,-119.92277666666666,,,,0.0
2023-10-14 12:30:00,1697312100.0,8.666666666666666,5.166666666666667,10.5,0.3333333333333333,0.1666666666666666,24.83333333333333,36.0,36.433875666666665,-119.92282466666666,,-64.57587073086862,64.90920406420194,1.4444444444444438
2023-10-14 13:30:00,1697315700.0,6.166666666666667,3.5,7.833333333333333,0.0,0.0,27.0,30.166666666666668,36.433894333333335,-119.92280066666666,,,,0.0
2023-10-14 14:30:00,1697319300.0,4.0,2.1666666666666665,4.833333333333333,0.0,0.0,28.666666666666668,25.666666666666668,36.4339225,-119.9227625,,,,0.0
2023-10-14 15:30:00,1697322900.0,3.0,2.0,3.6666666666666665,0.0,0.0,29.666666666666668,24.83333333333333,36.433893833333336,-119.9228135,,,,0.0
2023-10-14 16:30:00,1697326500.0,3.0,2.0,4.166666666666667,0.0,0.0,29.33333333333333,25.33333333333333,36.43388866666667,-119.92280183333332,,,,0.0
2023-10-14 17:30:00,1697330100.0,3.5,2.0,4.5,0.0,0.0,27.83333333333333,28.83333333333333,36.43387616666666,-119.92278433333333,,,,0.0
2023-10-14 18:30:00,1697333700.0,5.166666666666667,2.833333333333333,6.833333333333333,0.0,0.0,24.33333333333333,41.16666666666666,36.4338945,-119.922779,,,,0.0
2023-10-14 19:30:00,1697337300.0,7.166666666666667,4.166666666666667,9.333333333333334,0.1666666666666666,0.0,21.0,57.333333333333336,36.43385966666667,-119.9227855,,,,0.0
2023-10-14 20:30:00,1697340900.0,8.833333333333334,5.166666666666667,11.333333333333334,0.3333333333333333,0.0,19.5,55.833333333333336,36.4338845,-119.92281716666666,,,,0.0
2023-10-14 21:30:00,1697344500.0,31.0,18.83333333333333,36.0,0.6666666666666666,0.3333333333333333,17.666666666666668,58.5,36.433905333333335,-119.92281066666668,,-59.07427321229511,59.740939878961775,10.333333333333332
2023-10-14 22:30:00,1697348100.0,38.66666666666666,25.33333333333333,42.5,0.0,0.0,17.166666666666668,56.5,36.43388433333333,-119.922792,,,,0.0
2023-10-14 23:30:00,1697351700.0,10.166666666666666,6.166666666666667,11.666666666666666,0.1666666666666666,0.0,16.333333333333332,56.5,36.43388133333333,-119.92281466666668,,,,0.0
2023-10-15 00:30:00,1697355300.0,9.666666666666666,5.833333333333333,11.166666666666666,0.0,0.0,15.166666666666666,56.333333333333336,36.4339125,-119.92282216666666,,,,0.0
2023-10-15 01:30:00,1697358900.0,9.166666666666666,5.666666666666667,10.666666666666666,0.0,0.0,15.0,62.333333333333336,36.4338845,-119.92279933333332,,,,0.0
2023-10-15 02:30:00,1697362500.0,10.0,6.0,11.5,0.0,0.0,15.0,71.5,36.43389316666667,-119.9227945,,,,0.0
2023-10-15 03:30:00,1697366100.0,9.166666666666666,5.333333333333333,10.666666666666666,0.0,0.0,15.166666666666666,75.33333333333333,36.433909,-119.92281733333334,,,,0.0
2023-10-15 04:30:00,1697369700.0,9.5,5.333333333333333,11.0,0.1666666666666666,0.0,14.166666666666666,78.5,36.4338855,-119.92279433333331,,,,0.0
