unixtime,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,temp_C,rh,o3,lat,lon,coreid,C1_T,C2_rh,C3_o3,b,o3_cal
1760820000,29,28,19,30,30,19,27,37,45.817,36.005276,-120.117317,e00fce68e88237db75a60608,0.452680826,0.266996906,0.741711781,-22.88896785,33.195308644076995
1760820000,32,30,8,32,32,8,28,37,29.389,36.138973,-120.36834,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,35.142232090719
1760820600,30,29,8,30,30,8,28,38,29.591,36.138931,-120.36834,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,35.327488333861
1760820600,35,33,20,37,37,20,28,38,64.53,36.139046,-120.368279,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,57.29860824529
1760820601,35,31,17,36,36,17,0,0,37.886,36.139225,-120.368309,e00fce6858b443fd80f27170,0.662670487,0.209990819,0.699541715,-13.32328832,13.17954909449
1760820600,11,11,5,12,12,5,27,30,0.0,36.037685,-120.173172,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1760820600,29,28,19,30,30,19,27,35,46.589,36.005188,-120.117325,e00fce68e88237db75a60608,0.452680826,0.266996906,0.741711781,-22.88896785,33.233916327009
1760820601,32,31,20,33,33,20,28,38,45.505,36.138996,-120.368446,e00fce68d6b773b56ce8baa0,0.903406121,0.472949501,0.778436959,-32.72829099,45.96193525529501
1760821200,26,25,7,27,27,7,28,37,28.781,36.139145,-120.36834,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,34.802197772351
1760821201,32,29,16,33,32,16,0,0,37.268,36.139046,-120.368301,e00fce6858b443fd80f27170,0.662670487,0.209990819,0.699541715,-13.32328832,12.74723231462
1760821200,31,30,18,33,33,18,28,37,63.408,36.139145,-120.368294,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,56.401667494744
1760821200,24,24,15,25,25,15,27,34,46.375,36.00518,-120.117317,e00fce68e88237db75a60608,0.452680826,0.266996906,0.741711781,-22.88896785,32.808193099875
1760821200,19,19,10,20,20,10,27,32,0.0,36.037594,-120.173203,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1760821201,29,28,18,30,30,18,29,37,44.913,36.138931,-120.36837,e00fce68d6b773b56ce8baa0,0.903406121,0.472949501,0.778436959,-32.72829099,45.931557195567
1760821800,33,31,19,35,35,19,28,35,65.212,36.139,-120.36837,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,57.414325894916
1760821801,34,30,17,35,34,17,0,0,38.323,36.139015,-120.368309,e00fce6858b443fd80f27170,0.662670487,0.209990819,0.699541715,-13.32328832,13.485248823945
1760821800,19,19,10,20,20,10,27,33,0.0,36.037685,-120.173141,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1760821800,22,22,15,23,23,15,27,34,46.998,36.005226,-120.117332,e00fce68e88237db75a60608,0.452680826,0.266996906,0.741711781,-22.88896785,33.27027953943799
1760821800,28,27,8,29,29,8,28,36,30.091,36.138985,-120.368301,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,35.462553189361
1760821801,31,30,19,32,32,19,29,35,45.054,36.139004,-120.36834,e00fce68d6b773b56ce8baa0,0.903406121,0.472949501,0.778436959,-32.72829099,45.095417804786
1760822400,25,25,7,26,26,7,28,36,30.618,36.139015,-120.368401,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,35.757286883077995
1760822400,31,30,17,33,33,17,28,35,66.402,36.13905,-120.368378,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,58.23937097458601
1760822401,31,28,15,32,32,15,0,0,38.548,36.139046,-120.368439,e00fce6858b443fd80f27170,0.662670487,0.209990819,0.699541715,-13.32328832,13.642645709819998
1760822400,25,25,14,26,26,14,27,35,0.0,36.037563,-120.173164,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1760822401,28,28,17,28,28,17,29,35,46.661,36.139038,-120.368378,e00fce68d6b773b56ce8baa0,0.903406121,0.472949501,0.778436959,-32.72829099,46.34636599789901
1760822400,22,22,14,23,23,14,27,34,48.415,36.005302,-120.117271,e00fce68e88237db75a60608,0.452680826,0.266996906,0.741711781,-22.88896785,34.321285133115
1760823000,24,24,6,24,24,6,28,37,30.343,36.139107,-120.368355,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,35.675772781053
1760823001,29,28,14,30,30,14,0,0,36.866,36.139034,-120.368378,e00fce6858b443fd80f27170,0.662670487,0.209990819,0.699541715,-13.32328832,12.466016545189998
1760823001,26,26,15,27,27,15,29,36,44.865,36.139126,-120.368385,e00fce68d6b773b56ce8baa0,0.903406121,0.472949501,0.778436959,-32.72829099,45.421242720535
1760823000,29,29,15,30,30,15,28,36,64.498,36.139072,-120.368462,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,57.038339951114
1760823000,25,25,17,27,27,17,27,35,0.0,36.037476,-120.173149,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1760823000,22,22,15,23,23,15,27,35,48.516,36.005222,-120.117332,e00fce68e88237db75a60608,0.452680826,0.266996906,0.741711781,-22.88896785,34.663194928996
1760823600,24,24,7,24,24,7,28,36,30.897,36.139133,-120.368332,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,35.91332236798699
1760823600,30,30,16,31,31,16,28,35,66.166,36.139084,-120.368408,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,58.075748589038
1760823601,27,27,16,27,27,16,29,34,45.514,36.139027,-120.368309,e00fce68d6b773b56ce8baa0,0.903406121,0.472949501,0.778436959,-32.72829099,44.98054930492601
